Word,Frequency
abide,3.034348828741352e-05
able,3.034348828741352e-05
about,3.034348828741352e-05
above,0.0008496176720475786
abraham,0.00012137395314965408
abroad,9.103046486224057e-05
accept,0.00012137395314965408
accord,3.034348828741352e-05
account,6.068697657482704e-05
accounts,0.00012137395314965408
added,3.034348828741352e-05
adultery,3.034348828741352e-05
affairs,0.00012137395314965408
after,3.034348828741352e-05
again,0.0009709916251972327
against,0.0017295788323825707
agates,0.0014261439495084356
agree,3.034348828741352e-05
alive,3.034348828741352e-05
alma,6.068697657482704e-05
almighty,9.103046486224057e-05
almost,3.034348828741352e-05
alms,3.034348828741352e-05
aloud,0.00015171744143706762
alpha,3.034348828741352e-05
already,3.034348828741352e-05
also,0.00021240441801189465
although,0.0020633572035441195
always,9.103046486224057e-05
amen,0.0003337783711615487
among,9.103046486224057e-05
amount,0.0027916009224420437
ancient,3.034348828741352e-05
anew,3.034348828741352e-05
angel,3.034348828741352e-05
angels,3.034348828741352e-05
anger,0.00030343488287413523
angry,6.068697657482704e-05
anoint,0.00018206092972448113
another,3.034348828741352e-05
answered,0.0005461827891734434
anxiety,3.034348828741352e-05
apart,3.034348828741352e-05
appear,3.034348828741352e-05
appeared,0.00018206092972448113
appoint,3.034348828741352e-05
arise,9.103046486224057e-05
armies,0.00024274790629930817
armor,0.0005461827891734434
arms,6.068697657482704e-05
army,9.103046486224057e-05
arose,3.034348828741352e-05
arrayed,0.00021240441801189465
ascended,3.034348828741352e-05
ashamed,0.00021240441801189465
ashes,3.034348828741352e-05
aside,3.034348828741352e-05
asketh,3.034348828741352e-05
assist,9.103046486224057e-05
asunder,6.068697657482704e-05
aught,3.034348828741352e-05
avenge,3.034348828741352e-05
avenging,3.034348828741352e-05
await,3.034348828741352e-05
awake,3.034348828741352e-05
aware,6.068697657482704e-05
away,3.034348828741352e-05
awful,0.0016992353440951572
babes,3.034348828741352e-05
back,3.034348828741352e-05
bade,6.068697657482704e-05
band,3.034348828741352e-05
bands,0.00012137395314965408
baptize,3.034348828741352e-05
baptized,0.00039446534773637576
bare,0.0008192741837601651
barns,6.068697657482704e-05
barren,3.034348828741352e-05
bathe,3.034348828741352e-05
battle,3.034348828741352e-05
beam,0.00036412185944896227
bear,9.103046486224057e-05
beareth,0.0005461827891734434
beasts,9.103046486224057e-05
beat,0.00015171744143706762
became,0.00018206092972448113
because,0.0004551523243112028
become,0.0029433183638791116
been,0.0005765262774608569
before,0.0028219444107294577
began,0.0013654569729336084
begin,0.0011530525549217137
behalf,3.034348828741352e-05
beheld,3.034348828741352e-05
behold,6.068697657482704e-05
being,0.004794271149411337
belief,0.00039446534773637576
believe,9.103046486224057e-05
believed,0.0007282437188979245
belong,0.00015171744143706762
beloved,6.068697657482704e-05
better,9.103046486224057e-05
between,9.103046486224057e-05
beware,0.00015171744143706762
beyond,3.034348828741352e-05
bitter,3.034348828741352e-05
black,3.034348828741352e-05
bless,3.034348828741352e-05
blessed,0.00018206092972448113
blessing,0.001213739531496541
blew,9.103046486224057e-05
blind,6.068697657482704e-05
blood,0.00015171744143706762
blow,0.0005158393008860299
bloweth,3.034348828741352e-05
bodies,3.034348828741352e-05
body,9.103046486224057e-05
boldly,0.0004248088360237893
boldness,0.00012137395314965408
book,6.068697657482704e-05
books,0.00015171744143706762
borders,6.068697657482704e-05
born,9.103046486224057e-05
borrow,6.068697657482704e-05
both,3.034348828741352e-05
bowed,0.00048549581259861634
bowels,0.00012137395314965408
branch,6.068697657482704e-05
brass,3.034348828741352e-05
brave,9.103046486224057e-05
bread,3.034348828741352e-05
break,0.00039446534773637576
breaketh,0.00036412185944896227
brethren,3.034348828741352e-05
bring,0.0002730913945867217
bringeth,0.0005461827891734434
bringing,0.00018206092972448113
broad,6.068697657482704e-05
broken,6.068697657482704e-05
brother,0.0002730913945867217
brought,0.0003337783711615487
bucklers,0.0005765262774608569
build,3.034348828741352e-05
buildeth,6.068697657482704e-05
built,9.103046486224057e-05
buried,0.00039446534773637576
burn,0.00012137395314965408
burned,9.103046486224057e-05
burnt,0.00021240441801189465
bushel,6.068697657482704e-05
call,3.034348828741352e-05
called,0.00039446534773637576
calling,0.000637213254035684
calves,6.068697657482704e-05
came,3.034348828741352e-05
candle,0.004763927661123923
candles,3.034348828741352e-05
cannot,3.034348828741352e-05
canst,0.0003337783711615487
captains,3.034348828741352e-05
captive,9.103046486224057e-05
carnage,9.103046486224057e-05
carried,3.034348828741352e-05
carry,0.00015171744143706762
case,3.034348828741352e-05
cast,3.034348828741352e-05
casting,0.0010620220900594733
cattle,3.034348828741352e-05
caught,9.103046486224057e-05
cause,6.068697657482704e-05
caused,0.0007282437188979245
causeth,0.0003337783711615487
causing,3.034348828741352e-05
cease,3.034348828741352e-05
ceasing,0.0002730913945867217
centre,6.068697657482704e-05
chance,6.068697657482704e-05
chances,3.034348828741352e-05
change,3.034348828741352e-05
changed,0.00021240441801189465
charge,9.103046486224057e-05
chariots,6.068697657482704e-05
cheek,6.068697657482704e-05
cheer,3.034348828741352e-05
chickens,3.034348828741352e-05
chief,0.00012137395314965408
chiefest,0.00024274790629930817
chiefly,6.068697657482704e-05
chiefs,3.034348828741352e-05
child,3.034348828741352e-05
children,0.00015171744143706762
chosen,0.0009103046486224056
christ,0.0004248088360237893
church,0.0011530525549217137
cities,0.0006979002306105109
city,0.0003337783711615487
clean,0.0008192741837601651
cleansed,3.034348828741352e-05
clearly,6.068697657482704e-05
cleave,3.034348828741352e-05
cloak,3.034348828741352e-05
closet,3.034348828741352e-05
clothe,3.034348828741352e-05
clothed,6.068697657482704e-05
clothing,6.068697657482704e-05
cloud,3.034348828741352e-05
coals,3.034348828741352e-05
coat,3.034348828741352e-05
colors,3.034348828741352e-05
combine,3.034348828741352e-05
come,6.068697657482704e-05
cometh,0.003550188129627382
coming,0.00036412185944896227
command,0.00030343488287413523
commence,0.00021240441801189465
commit,0.00012137395314965408
common,9.103046486224057e-05
compel,3.034348828741352e-05
conceive,3.034348828741352e-05
condemn,6.068697657482704e-05
confess,6.068697657482704e-05
consider,3.034348828741352e-05
consist,9.103046486224057e-05
consumed,3.034348828741352e-05
contain,3.034348828741352e-05
contend,9.103046486224057e-05
continue,6.068697657482704e-05
contrary,9.103046486224057e-05
contrite,3.034348828741352e-05
cords,9.103046486224057e-05
corner,3.034348828741352e-05
corrupt,3.034348828741352e-05
could,0.00015171744143706762
council,0.0008192741837601651
country,3.034348828741352e-05
covenant,6.068697657482704e-05
covered,0.0010013351134846463
cracks,3.034348828741352e-05
created,3.034348828741352e-05
cried,9.103046486224057e-05
cries,9.103046486224057e-05
crime,3.034348828741352e-05
cross,3.034348828741352e-05
crushed,9.103046486224057e-05
crying,3.034348828741352e-05
cubit,3.034348828741352e-05
cunning,3.034348828741352e-05
cures,3.034348828741352e-05
curse,3.034348828741352e-05
cursed,0.00015171744143706762
curtains,3.034348828741352e-05
custom,3.034348828741352e-05
cutting,3.034348828741352e-05
daily,3.034348828741352e-05
damage,3.034348828741352e-05
damned,3.034348828741352e-05
danger,3.034348828741352e-05
dark,0.00012137395314965408
darkness,3.034348828741352e-05
date,0.0004551523243112028
days,3.034348828741352e-05
dead,0.00024274790629930817
deaf,0.00021240441801189465
deal,6.068697657482704e-05
dealing,3.034348828741352e-05
death,3.034348828741352e-05
deaths,0.0005461827891734434
debtors,3.034348828741352e-05
debts,3.034348828741352e-05
deceits,3.034348828741352e-05
deceive,3.034348828741352e-05
declare,3.034348828741352e-05
decrease,0.00021240441801189465
defence,3.034348828741352e-05
defend,3.034348828741352e-05
defiance,3.034348828741352e-05
deformed,3.034348828741352e-05
degree,3.034348828741352e-05
delays,6.068697657482704e-05
delight,3.034348828741352e-05
deliver,3.034348828741352e-05
demands,0.0002730913945867217
deny,3.034348828741352e-05
depart,9.103046486224057e-05
departed,0.00018206092972448113
depths,0.00015171744143706762
descends,0.00021240441801189465
deserted,3.034348828741352e-05
design,6.068697657482704e-05
desire,6.068697657482704e-05
desired,0.00021240441801189465
desireth,0.00030343488287413523
desiring,6.068697657482704e-05
desirous,3.034348828741352e-05
desolate,3.034348828741352e-05
despise,0.00018206092972448113
destroy,3.034348828741352e-05
devil,0.0006068697657482705
devils,0.00024274790629930817
devoured,9.103046486224057e-05
devourer,3.034348828741352e-05
didst,3.034348828741352e-05
discern,6.068697657482704e-05
disciple,3.034348828741352e-05
disperse,3.034348828741352e-05
dispute,3.034348828741352e-05
divide,3.034348828741352e-05
divided,3.034348828741352e-05
divorced,6.068697657482704e-05
doctrine,3.034348828741352e-05
doest,0.0003337783711615487
doeth,3.034348828741352e-05
dogs,0.00021240441801189465
doings,3.034348828741352e-05
done,0.00015171744143706762
door,0.000637213254035684
doth,3.034348828741352e-05
doubt,0.00018206092972448113
down,3.034348828741352e-05
drank,0.0013654569729336084
draw,6.068697657482704e-05
dreadful,6.068697657482704e-05
drink,6.068697657482704e-05
drinketh,0.0002730913945867217
drive,0.00012137395314965408
drowned,3.034348828741352e-05
dumb,9.103046486224057e-05
durst,3.034348828741352e-05
dust,9.103046486224057e-05
dwell,3.034348828741352e-05
dwelt,0.00012137395314965408
dwindle,3.034348828741352e-05
dyed,3.034348828741352e-05
ears,6.068697657482704e-05
earth,6.068697657482704e-05
east,0.00215438766840636
eaten,6.068697657482704e-05
eateth,6.068697657482704e-05
edge,0.00012137395314965408
effect,3.034348828741352e-05
eighth,3.034348828741352e-05
either,6.068697657482704e-05
eldest,3.034348828741352e-05
elements,3.034348828741352e-05
eleventh,3.034348828741352e-05
elijah,3.034348828741352e-05
else,3.034348828741352e-05
ended,6.068697657482704e-05
ending,0.00018206092972448113
ends,3.034348828741352e-05
endure,0.00015171744143706762
endureth,6.068697657482704e-05
enemies,0.00012137395314965408
enemy,0.0003337783711615487
engraven,6.068697657482704e-05
enjoyed,6.068697657482704e-05
enlarge,3.034348828741352e-05
enough,3.034348828741352e-05
enter,3.034348828741352e-05
entered,0.00036412185944896227
entereth,6.068697657482704e-05
envyings,3.034348828741352e-05
epistle,6.068697657482704e-05
equal,0.00018206092972448113
equity,3.034348828741352e-05
error,3.034348828741352e-05
escape,6.068697657482704e-05
eternal,3.034348828741352e-05
even,6.068697657482704e-05
ever,0.001972326738681879
every,3.034348828741352e-05
evil,0.0007889306954727515
exalted,0.0004551523243112028
example,3.034348828741352e-05
exceed,3.034348828741352e-05
except,3.034348828741352e-05
execute,0.0002730913945867217
exert,6.068697657482704e-05
exist,3.034348828741352e-05
expound,3.034348828741352e-05
extended,6.068697657482704e-05
extinct,3.034348828741352e-05
extolled,3.034348828741352e-05
eyes,3.034348828741352e-05
face,0.00048549581259861634
faces,0.0009406481369098192
fair,3.034348828741352e-05
faith,0.00012137395314965408
fall,0.0005765262774608569
fallen,0.00036412185944896227
falling,0.0002730913945867217
false,6.068697657482704e-05
falsely,6.068697657482704e-05
families,3.034348828741352e-05
family,3.034348828741352e-05
