Word,Frequency
Aaron,1.0204394012061594e-05
aaswer,0.00041838015449452534
abasing,1.0204394012061594e-05
abhor,1.0204394012061594e-05
abide,1.0204394012061594e-05
Abinadi,3.0613182036184784e-05
Abish,3.0613182036184784e-05
able,1.0204394012061594e-05
abound,3.0613182036184784e-05
about,1.0204394012061594e-05
above,0.001132687735338837
Abraham,0.00010204394012061594
abroad,6.122636407236957e-05
absence,4.0817576048246375e-05
abundant,1.0204394012061594e-05
abyss,1.0204394012061594e-05
access,1.0204394012061594e-05
account,1.0204394012061594e-05
accuse,0.0002449054562894783
accused,1.0204394012061594e-05
accusing,1.0204394012061594e-05
acquaint,1.0204394012061594e-05
acquired,1.0204394012061594e-05
activity,1.0204394012061594e-05
actual,1.0204394012061594e-05
Adam,1.0204394012061594e-05
added,7.143075808443115e-05
addition,1.0204394012061594e-05
address,1.0204394012061594e-05
adhear,1.0204394012061594e-05
admit,1.0204394012061594e-05
admitted,2.0408788024123187e-05
adultery,1.0204394012061594e-05
afar,3.0613182036184784e-05
affairs,1.0204394012061594e-05
affixed,7.143075808443115e-05
afflict,3.0613182036184784e-05
afforded,3.0613182036184784e-05
afraid,1.0204394012061594e-05
after,3.0613182036184784e-05
After,0.0015000459197730544
again,1.0204394012061594e-05
against,0.0012449360694715144
aged,0.002153127136544996
agreed,2.0408788024123187e-05
alarming,1.0204394012061594e-05
alive,1.0204394012061594e-05
alliance,1.0204394012061594e-05
allotted,2.0408788024123187e-05
Alma,1.0204394012061594e-05
Almighty,0.0018265865281590252
almost,1.0204394012061594e-05
alone,4.0817576048246375e-05
along,6.122636407236957e-05
already,1.0204394012061594e-05
also,2.0408788024123187e-05
Also,0.003642968662305989
altar,1.0204394012061594e-05
alter,1.0204394012061594e-05
altered,1.0204394012061594e-05
altering,5.102197006030797e-05
although,1.0204394012061594e-05
always,1.0204394012061594e-05
Amen,6.122636407236957e-05
Aminadi,8.163515209649275e-05
Amlici,3.0613182036184784e-05
Ammah,0.0001632703041929855
Ammon,2.0408788024123187e-05
Ammoron,0.001479637131748931
amner,0.00022449666826535505
Amnihu,1.0204394012061594e-05
amnor,1.0204394012061594e-05
Amnor,1.0204394012061594e-05
amog,1.0204394012061594e-05
among,1.0204394012061594e-05
amongst,0.0017755645580987173
amount,0.00011224833413267753
Amulek,2.0408788024123187e-05
Amulon,0.0007245119748563732
ancient,5.102197006030797e-05
angel,2.0408788024123187e-05
angels,0.00025510985030153984
anger,0.0001530659101809239
angry,0.0002653142443136014
anguish,0.0002857230323377246
Ani-anti,2.0408788024123187e-05
animals,1.0204394012061594e-05
another,1.0204394012061594e-05
answer,0.00022449666826535505
answered,4.0817576048246375e-05
Antiomno,0.0001530659101809239
antion,1.0204394012061594e-05
Antionah,1.0204394012061594e-05
Antionam,1.0204394012061594e-05
Antionum,1.0204394012061594e-05
Antipas,3.0613182036184784e-05
Antipus,3.0613182036184784e-05
anxiety,0.0002040878802412319
apparel,1.0204394012061594e-05
appeal,7.143075808443115e-05
appealed,1.0204394012061594e-05
appear,2.0408788024123187e-05
appeared,3.0613182036184784e-05
appease,4.0817576048246375e-05
appoint,1.0204394012061594e-05
approach,4.0817576048246375e-05
arise,1.0204394012061594e-05
Arise,1.0204394012061594e-05
armed,2.0408788024123187e-05
armies,7.143075808443115e-05
arming,0.0009388042491096666
armour,1.0204394012061594e-05
armours,3.0613182036184784e-05
arms,1.0204394012061594e-05
army,0.00035715379042215576
arose,0.0009592130371337899
around,0.00011224833413267753
arouse,4.0817576048246375e-05
arrest,1.0204394012061594e-05
arrested,1.0204394012061594e-05
arrive,1.0204394012061594e-05
arrived,7.143075808443115e-05
arriven,1.0204394012061594e-05
arrows,2.0408788024123187e-05
arts,0.00011224833413267753
ascribe,1.0204394012061594e-05
ashamed,1.0204394012061594e-05
asid,1.0204394012061594e-05
aside,1.0204394012061594e-05
asked,5.102197006030797e-05
asking,1.0204394012061594e-05
asleep,1.0204394012061594e-05
assemble,2.0408788024123187e-05
assembly,8.163515209649275e-05
assist,1.0204394012061594e-05
astray,5.102197006030797e-05
atempt,4.0817576048246375e-05
athirst,1.0204394012061594e-05
atone,2.0408788024123187e-05
atoneth,4.0817576048246375e-05
attack,2.0408788024123187e-05
attacked,0.00011224833413267753
attempt,2.0408788024123187e-05
attempts,9.183954610855435e-05
attended,2.0408788024123187e-05
attitude,2.0408788024123187e-05
availeth,2.0408788024123187e-05
avenge,1.0204394012061594e-05
await,3.0613182036184784e-05
awaits,1.0204394012061594e-05
awake,1.0204394012061594e-05
awaked,3.0613182036184784e-05
awaken,1.0204394012061594e-05
awakened,1.0204394012061594e-05
aware,1.0204394012061594e-05
away,1.0204394012061594e-05
awful,0.0007959427329408043
awoke,0.0001326571221568007
bablings,8.163515209649275e-05
back,1.0204394012061594e-05
backs,0.0001734746982050471
ball,2.0408788024123187e-05
band,1.0204394012061594e-05
bands,4.0817576048246375e-05
banished,0.00012245272814473914
bank,1.0204394012061594e-05
banks,7.143075808443115e-05
baptised,3.0613182036184784e-05
baptism,1.0204394012061594e-05
baptize,1.0204394012061594e-05
baptized,4.0817576048246375e-05
bare,0.0001428615161688623
barley,1.0204394012061594e-05
barren,2.0408788024123187e-05
