Word,Frequency
abandon,4.2326250740709385e-05
abel,4.2326250740709385e-05
about,4.2326250740709385e-05
above,0.001100482519258444
abraham,0.00016930500296283754
abroad,0.00025395750444425635
account,8.465250148141877e-05
accursed,0.00025395750444425635
accuse,0.00016930500296283754
across,4.2326250740709385e-05
adam,4.2326250740709385e-05
addition,4.2326250740709385e-05
adultery,4.2326250740709385e-05
affairs,8.465250148141877e-05
after,0.00012697875222212818
again,0.0003809362566663845
against,0.0012697875222212817
agony,0.0014814187759248285
agreed,4.2326250740709385e-05
alma,0.00016930500296283754
almighty,0.00012697875222212818
almost,4.2326250740709385e-05
alone,0.00012697875222212818
already,8.465250148141877e-05
also,0.00012697875222212818
altered,0.0035554050622195886
always,4.2326250740709385e-05
amazed,4.2326250740709385e-05
amen,4.2326250740709385e-05
aminadab,4.2326250740709385e-05
ammon,0.00012697875222212818
ammoron,8.465250148141877e-05
among,4.2326250740709385e-05
amongst,0.002920511301108948
amulek,4.2326250740709385e-05
angel,8.465250148141877e-05
angels,0.00016930500296283754
anger,0.0002962837551849657
angry,0.000761872513332769
another,0.0002962837551849657
answered,0.0004655887581478033
apparel,4.2326250740709385e-05
appear,4.2326250740709385e-05
appeased,0.00012697875222212818
appoint,4.2326250740709385e-05
aright,4.2326250740709385e-05
arise,8.465250148141877e-05
armed,4.2326250740709385e-05
armies,4.2326250740709385e-05
army,0.0003809362566663845
arose,0.0002962837551849657
arriven,8.465250148141877e-05
arrows,4.2326250740709385e-05
arts,0.00021163125370354693
aside,4.2326250740709385e-05
assemble,4.2326250740709385e-05
asunder,8.465250148141877e-05
atoning,0.00012697875222212818
attack,4.2326250740709385e-05
attempt,8.465250148141877e-05
attitude,4.2326250740709385e-05
author,4.2326250740709385e-05
await,8.465250148141877e-05
awaiteth,8.465250148141877e-05
away,4.2326250740709385e-05
awful,0.0010581562685177347
bacause,0.00021163125370354693
back,4.2326250740709385e-05
backs,0.00025395750444425635
band,4.2326250740709385e-05
bands,0.0009311775162956066
baptized,4.2326250740709385e-05
battle,0.00025395750444425635
bear,0.0002962837551849657
beasts,8.465250148141877e-05
beat,4.2326250740709385e-05
became,4.2326250740709385e-05
because,0.0003386100059256751
become,0.0038516888174045544
becometh,0.0006772200118513502
becoming,8.465250148141877e-05
been,8.465250148141877e-05
befal,0.0019046812833319225
before,4.2326250740709385e-05
began,0.0008465250148141877
begin,0.0018623550325912131
beheld,0.00016930500296283754
behind,0.00025395750444425635
behold,4.2326250740709385e-05
being,0.00897316515703039
believe,0.0006348937611106409
believed,0.0008888512655548972
belong,0.00025395750444425635
belonged,0.00021163125370354693
beloved,0.00021163125370354693
beneath,8.465250148141877e-05
benjamin,8.465250148141877e-05
better,4.2326250740709385e-05
betweem,8.465250148141877e-05
beyond,4.2326250740709385e-05
bind,8.465250148141877e-05
birth,8.465250148141877e-05
bless,8.465250148141877e-05
blessed,0.00016930500296283754
blind,0.00025395750444425635
blood,8.465250148141877e-05
bloody,0.00025395750444425635
boast,4.2326250740709385e-05
boasting,8.465250148141877e-05
bodies,4.2326250740709385e-05
boldly,8.465250148141877e-05
book,4.2326250740709385e-05
