Word,Frequency
aaron,9.33184023889511e-05
abide,9.33184023889511e-05
abinadi,9.33184023889511e-05
about,9.33184023889511e-05
above,0.001026502426278462
abraham,9.33184023889511e-05
abused,0.0001866368047779022
account,9.33184023889511e-05
adam,0.0002799552071668533
adorn,0.0002799552071668533
adorning,9.33184023889511e-05
after,9.33184023889511e-05
again,0.0005599104143337066
against,0.003079507278835386
almighty,0.0031728256812243376
almost,9.33184023889511e-05
alone,9.33184023889511e-05
already,0.0001866368047779022
also,9.33184023889511e-05
altered,0.003732736095558044
always,0.0001866368047779022
amen,9.33184023889511e-05
ammaron,0.0001866368047779022
among,0.0006532288167226577
amongst,0.0017730496453900709
anchor,9.33184023889511e-05
ancient,9.33184023889511e-05
angelah,9.33184023889511e-05
anger,9.33184023889511e-05
angry,9.33184023889511e-05
anguish,9.33184023889511e-05
another,9.33184023889511e-05
answered,9.33184023889511e-05
antionum,9.33184023889511e-05
antum,9.33184023889511e-05
apostles,9.33184023889511e-05
apparel,9.33184023889511e-05
armies,0.0001866368047779022
arms,0.0008398656215005599
army,0.0002799552071668533
arouse,0.0005599104143337066
arrow,9.33184023889511e-05
ashamed,9.33184023889511e-05
assist,9.33184023889511e-05
avenge,9.33184023889511e-05
avengeth,0.0001866368047779022
await,9.33184023889511e-05
aware,9.33184023889511e-05
away,9.33184023889511e-05
awful,0.0013064576334453153
awoke,0.0001866368047779022
back,9.33184023889511e-05
band,0.0003732736095558044
baptized,9.33184023889511e-05
battle,0.0004665920119447555
battles,0.0015864128406121688
beasts,9.33184023889511e-05
beat,9.33184023889511e-05
beaz,0.0007465472191116088
became,9.33184023889511e-05
because,9.33184023889511e-05
become,0.003826054497946995
been,0.0006532288167226577
before,0.0024262784621127288
began,0.0035460992907801418
begin,0.0013997760358342665
behalf,0.0002799552071668533
beheld,0.0001866368047779022
behold,9.33184023889511e-05
being,0.007932064203060843
believe,0.0013064576334453153
belong,0.0011198208286674132
beloved,0.0001866368047779022
besides,0.0002799552071668533
between,9.33184023889511e-05
beware,0.0002799552071668533
beyond,9.33184023889511e-05
bless,9.33184023889511e-05
blessed,0.0001866368047779022
blessing,0.0001866368047779022
blood,9.33184023889511e-05
boast,0.0013064576334453153
bodies,0.0001866368047779022
body,0.0001866368047779022
boldly,9.33184023889511e-05
boldness,0.0001866368047779022
bonds,0.0001866368047779022
bones,9.33184023889511e-05
book,9.33184023889511e-05
border,9.33184023889511e-05
