Word,Frequency
aaron,2.792282132186636e-05
abinadi,0.00011169128528746544
able,0.00092145310362159
abound,5.584564264373272e-05
about,2.792282132186636e-05
above,0.0010610672102309218
abraham,0.0002233825705749309
abroad,5.584564264373272e-05
abyss,5.584564264373272e-05
accept,2.792282132186636e-05
account,2.792282132186636e-05
accuse,0.00025130539189679725
accused,8.376846396559908e-05
adam,2.792282132186636e-05
added,0.0001396141066093318
admonish,2.792282132186636e-05
adultery,2.792282132186636e-05
affairs,5.584564264373272e-05
afflict,0.00016753692793119817
after,2.792282132186636e-05
again,0.0015916008153463825
against,0.0017312149219557145
agree,0.001479909530058917
alike,2.792282132186636e-05
alive,2.792282132186636e-05
all-wise,5.584564264373272e-05
alma,2.792282132186636e-05
almighty,0.0021779800631055763
alone,5.584564264373272e-05
aloud,8.376846396559908e-05
already,2.792282132186636e-05
also,8.376846396559908e-05
always,0.0031273559880490324
amaleki,0.0002792282132186636
amen,2.792282132186636e-05
ammon,0.00011169128528746544
among,0.0007259933543685254
amongst,0.0020662887778181106
amount,2.792282132186636e-05
amulon,2.792282132186636e-05
ancient,0.0004188423198279954
angel,2.792282132186636e-05
angels,0.00025130539189679725
anger,2.792282132186636e-05
angry,0.00025130539189679725
anguish,0.00016753692793119817
another,0.0001396141066093318
answer,0.0007259933543685254
answered,0.00016753692793119817
anxiety,0.00019545974925306453
anxious,2.792282132186636e-05
apart,2.792282132186636e-05
appeal,5.584564264373272e-05
appeared,2.792282132186636e-05
applied,5.584564264373272e-05
apply,2.792282132186636e-05
appoint,2.792282132186636e-05
apprised,8.376846396559908e-05
arise,2.792282132186636e-05
armed,5.584564264373272e-05
armies,2.792282132186636e-05
armor,0.00016753692793119817
arms,2.792282132186636e-05
army,0.00019545974925306453
arose,0.0002233825705749309
around,5.584564264373272e-05
arrange,2.792282132186636e-05
arrived,2.792282132186636e-05
arriven,8.376846396559908e-05
arrows,2.792282132186636e-05
ascended,5.584564264373272e-05
ashamed,2.792282132186636e-05
ashes,2.792282132186636e-05
asleep,2.792282132186636e-05
assemble,2.792282132186636e-05
assembly,0.00016753692793119817
assured,2.792282132186636e-05
astray,2.792282132186636e-05
asunder,5.584564264373272e-05
atoneth,2.792282132186636e-05
atoning,5.584564264373272e-05
aught,5.584564264373272e-05
austere,2.792282132186636e-05
availeth,2.792282132186636e-05
awake,2.792282132186636e-05
awaken,8.376846396559908e-05
awakened,2.792282132186636e-05
away,5.584564264373272e-05
awful,0.0002233825705749309
awoke,5.584564264373272e-05
back,5.584564264373272e-05
backs,0.0002792282132186636
ball,8.376846396559908e-05
bands,2.792282132186636e-05
baptism,0.00019545974925306453
baptize,5.584564264373272e-05
baptized,0.0001396141066093318
bare,0.00030715103454052997
barley,8.376846396559908e-05
battle,5.584564264373272e-05
bear,0.00030715103454052997
beasts,0.00025130539189679725
beat,0.0001396141066093318
beauty,2.792282132186636e-05
became,5.584564264373272e-05
because,0.00039091949850612905
become,0.0019545974925306454
becometh,0.0002792282132186636
becoming,0.00011169128528746544
been,0.0001396141066093318
before,0.002540976740289839
began,0.001787060564599447
beggar,0.0019266746712087788
beggars,5.584564264373272e-05
begged,2.792282132186636e-05
begging,2.792282132186636e-05
begin,2.792282132186636e-05
begotten,2.792282132186636e-05
beguile,2.792282132186636e-05
behalf,2.792282132186636e-05
beheld,2.792282132186636e-05
behind,5.584564264373272e-05
behold,2.792282132186636e-05
being,0.002708513668221037
beings,0.0013402954234495853
belief,5.584564264373272e-05
believe,5.584564264373272e-05
believed,0.0005026107837935945
belong,0.0002233825705749309
belonged,0.0001396141066093318
beloved,5.584564264373272e-05
beneath,2.792282132186636e-05
benefit,8.376846396559908e-05
benjamin,2.792282132186636e-05
bent,0.0005584564264373272
better,2.792282132186636e-05
between,0.00011169128528746544
betwixt,2.792282132186636e-05
beware,2.792282132186636e-05
beyond,2.792282132186636e-05
bibber,5.584564264373272e-05
bidding,2.792282132186636e-05
bind,2.792282132186636e-05
blades,2.792282132186636e-05
bless,2.792282132186636e-05
blessed,8.376846396559908e-05
blest,0.00039091949850612905
blind,2.792282132186636e-05
blinded,5.584564264373272e-05
block,2.792282132186636e-05
blood,2.792282132186636e-05
blossoms,0.0005305336051154609
blotted,2.792282132186636e-05
bloweth,0.00011169128528746544
boast,2.792282132186636e-05
bodies,0.0001396141066093318
body,0.0001396141066093318
bold,0.00016753692793119817
boldly,2.792282132186636e-05
boldness,2.792282132186636e-05
bondage,2.792282132186636e-05
bonds,0.0011169128528746544
bones,8.376846396559908e-05
book,5.584564264373272e-05
borders,5.584564264373272e-05
born,0.00016753692793119817
borne,0.0001396141066093318
both,0.0001396141066093318
bound,0.00019545974925306453
bowed,0.00019545974925306453
bowels,2.792282132186636e-05
bows,2.792282132186636e-05
brass,5.584564264373272e-05
break,0.00025130539189679725
breaketh,8.376846396559908e-05
breast,2.792282132186636e-05
breath,2.792282132186636e-05
brethren,5.584564264373272e-05
bright,0.0016753692793119817
bring,2.792282132186636e-05
bringeth,0.0003629966771842627
bringing,0.00016753692793119817
broken,8.376846396559908e-05
brother,0.00016753692793119817
brothers,5.584564264373272e-05
brought,2.792282132186636e-05
bruise,0.0012006813168402536
bruised,2.792282132186636e-05
build,2.792282132186636e-05
building,5.584564264373272e-05
built,5.584564264373272e-05
burdened,0.0002233825705749309
burdens,2.792282132186636e-05
buried,0.00025130539189679725
burning,2.792282132186636e-05
burnt,2.792282132186636e-05
bury,2.792282132186636e-05
business,5.584564264373272e-05
call,2.792282132186636e-05
called,0.0002233825705749309
calling,0.001005221567587189
came,8.376846396559908e-05
camp,0.005193644765867143
cankered,2.792282132186636e-05
cannot,2.792282132186636e-05
canst,0.0002233825705749309
captain,2.792282132186636e-05
captive,2.792282132186636e-05
captives,5.584564264373272e-05
carnal,2.792282132186636e-05
carried,0.00019545974925306453
carry,0.00019545974925306453
carrying,5.584564264373272e-05
case,2.792282132186636e-05
cases,8.376846396559908e-05
cast,5.584564264373272e-05
cattle,0.0004188423198279954
caught,2.792282132186636e-05
cause,2.792282132186636e-05
caused,0.001005221567587189
causeth,0.0013682182447714516
causing,5.584564264373272e-05
